               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.020372,            0.031627,           0.0030691,             0.77633,             0.94689,             0.95983,             0.77211,            0.015597,            0.030841,           0.0036866,           0.0048215,           0.0048215,           0.0048215
                  36,            0.019801,            0.030776,           0.0033804,             0.81315,                   1,             0.98926,              0.7674,            0.020052,            0.032121,           0.0038706,           0.0046692,           0.0046692,           0.0046692
                  37,            0.019551,            0.031862,           0.0035801,             0.85659,              0.9796,             0.98604,             0.77039,            0.018123,            0.031549,           0.0025653,           0.0045169,           0.0045169,           0.0045169
                  38,            0.019092,             0.03048,           0.0032372,             0.82733,                   1,             0.99171,              0.7845,            0.019086,            0.031231,           0.0029689,           0.0043646,           0.0043646,           0.0043646
                  39,            0.019872,            0.032124,           0.0030925,             0.76613,             0.94749,             0.97859,             0.75808,            0.016989,            0.030719,           0.0032438,           0.0042123,           0.0042123,           0.0042123
                  40,            0.018557,            0.030431,           0.0031458,             0.87968,              0.9358,             0.96413,             0.73996,            0.018288,            0.031206,           0.0023948,             0.00406,             0.00406,             0.00406
                  41,            0.017835,            0.030246,           0.0037774,             0.90053,              0.9529,             0.96045,             0.75224,            0.017229,            0.031458,           0.0024757,           0.0039077,           0.0039077,           0.0039077
                  42,            0.017307,            0.029372,           0.0031728,             0.80988,             0.86877,             0.97872,             0.76049,            0.016488,            0.030667,           0.0037448,           0.0037554,           0.0037554,           0.0037554
                  43,            0.017946,            0.030005,           0.0029213,             0.83536,             0.79988,             0.99282,             0.74021,            0.017019,            0.031789,           0.0038713,           0.0036031,           0.0036031,           0.0036031
                  44,             0.01737,            0.029312,           0.0025257,             0.96596,             0.74399,             0.99043,             0.72165,            0.017588,             0.03221,           0.0037173,           0.0034508,           0.0034508,           0.0034508
                  45,            0.017055,             0.03016,           0.0027221,              0.8549,             0.78137,             0.98978,             0.78848,            0.015592,            0.030199,            0.004043,           0.0032985,           0.0032985,           0.0032985
                  46,            0.016351,            0.028277,           0.0022943,             0.74603,             0.75385,             0.89797,             0.72585,            0.015989,            0.031974,           0.0041098,           0.0031462,           0.0031462,           0.0031462
                  47,             0.01632,            0.029129,            0.002252,             0.75928,             0.80794,             0.92985,             0.76541,            0.014879,            0.031133,           0.0036983,           0.0029938,           0.0029938,           0.0029938
                  48,            0.016502,            0.028306,           0.0031409,             0.75599,             0.89854,             0.97163,             0.79125,            0.014429,            0.030117,           0.0033052,           0.0028415,           0.0028415,           0.0028415
                  49,            0.015836,            0.028069,           0.0022692,              0.9012,             0.86776,             0.99111,             0.79833,            0.013831,            0.028603,           0.0024381,           0.0026892,           0.0026892,           0.0026892
                  50,             0.01537,            0.028324,           0.0025615,              0.9297,             0.75378,              0.9847,             0.80121,            0.014001,            0.028977,           0.0036707,           0.0025369,           0.0025369,           0.0025369
                  51,             0.01567,            0.029702,           0.0025305,             0.73913,             0.75385,             0.90127,             0.71807,            0.015284,              0.0321,           0.0041762,           0.0023846,           0.0023846,           0.0023846
                  52,            0.015032,            0.027079,           0.0020835,             0.76319,             0.82258,             0.93068,             0.76333,            0.015797,            0.031353,           0.0038425,           0.0022323,           0.0022323,           0.0022323
                  53,            0.014953,            0.026755,            0.002406,             0.80841,              0.8789,             0.96726,             0.81283,            0.014954,            0.028992,           0.0032175,             0.00208,             0.00208,             0.00208
